,x,y,Category
112,-4.6301975,-0.24473786,Blue Polo T-Shirt
113,0.48808154,-4.115183,Blue Polo T-Shirt
114,11.707916,-1.3426782,Blue Polo T-Shirt
115,-0.39320493,-2.5363505,Blue Polo T-Shirt
116,-2.6868284,-4.121857,Blue Polo T-Shirt
117,1.5933579,-0.67973167,Blue Polo T-Shirt
118,-0.74713516,-1.0576816,Blue Polo T-Shirt
119,1.1562034,1.4909724,Blue Polo T-Shirt
120,4.3243227,1.8636594,Blue Polo T-Shirt
121,2.9032438,-1.0701271,Blue Polo T-Shirt
122,-5.692723,2.5376086,Blue Polo T-Shirt
123,11.254777,-5.1648693,Blue Polo T-Shirt
124,-5.7966957,-1.9076961,Blue Polo T-Shirt
125,-0.6702564,2.4370542,Blue Polo T-Shirt
126,-2.4656546,4.8276052,Blue Polo T-Shirt
127,2.6282601,0.22948503,Blue Polo T-Shirt
128,9.67079,2.4279256,Blue Polo T-Shirt
129,-8.09793,7.4803534,Blue Polo T-Shirt
130,1.8525237,2.538708,Blue Polo T-Shirt
131,13.997181,1.2397349,Blue Polo T-Shirt
132,-4.9019585,2.5539343,Blue Polo T-Shirt
133,-4.075349,-1.396714,Blue Polo T-Shirt
134,9.591652,-2.4179718,Blue Polo T-Shirt
135,2.859379,-0.06713286,Blue Polo T-Shirt
136,11.485649,-5.6944904,Blue Polo T-Shirt
137,4.395482,-3.7330778,Blue Polo T-Shirt
138,-0.37331858,5.323092,Blue Polo T-Shirt
139,-1.2606287,0.2660657,Blue Polo T-Shirt
140,-6.149285,4.724071,Blue Polo T-Shirt
141,2.1190834,1.4232506,Blue Polo T-Shirt
142,7.061392,-0.6572423,Blue Polo T-Shirt
143,1.1701138,-1.4712037,Blue Polo T-Shirt
144,10.066358,1.8806269,Blue Polo T-Shirt
145,4.930096,-1.495009,Blue Polo T-Shirt
146,-1.854929,-1.1853125,Blue Polo T-Shirt
147,0.461492,2.8523757,Blue Polo T-Shirt
148,3.419839,-5.855317,Light Blue Polo T-Shirt
149,-5.985063,0.022657322,Blue Polo T-Shirt
150,15.835698,-0.60327256,Light Blue Polo T-Shirt
151,15.131699,-3.0788143,Light Blue Polo T-Shirt
152,11.407346,-8.730622,Light Blue Polo T-Shirt
153,9.629819,-8.655423,Light Blue Polo T-Shirt
154,3.361909,-13.522162,Light Blue Polo T-Shirt
155,6.115406,-9.743488,Light Blue Polo T-Shirt
156,13.087893,-1.5554916,Light Blue Polo T-Shirt
157,13.476703,-5.9489183,Light Blue Polo T-Shirt
158,4.0623055,-13.57294,Light Blue Polo T-Shirt
159,4.5344815,-6.6934996,Light Blue Polo T-Shirt
160,5.07922,-10.842265,Light Blue Polo T-Shirt
161,1.9844146,-11.68071,Light Blue Polo T-Shirt
162,13.973948,-3.0897403,Light Blue Polo T-Shirt
163,15.910545,-11.32654,Light Blue Polo T-Shirt
164,15.5776005,-11.560812,Light Blue Polo T-Shirt
165,14.142944,-1.8166269,Light Blue Polo T-Shirt
166,7.805079,-8.6163225,Light Blue Polo T-Shirt
167,8.56889,-12.252618,Light Blue Polo T-Shirt
168,3.8990533,-12.534136,Light Blue Polo T-Shirt
169,8.259746,-9.4874115,Light Blue Polo T-Shirt
170,7.096725,-13.54799,Light Blue Polo T-Shirt
171,14.698552,-4.4052615,Light Blue Polo T-Shirt
172,12.238621,-5.751015,Light Blue Polo T-Shirt
173,5.677124,-13.767665,Light Blue Polo T-Shirt
174,14.912369,-3.3205094,Light Blue Polo T-Shirt
175,15.687846,-12.133735,Light Blue Polo T-Shirt
176,8.541653,-11.752457,Light Blue Polo T-Shirt
177,3.5430849,-11.309573,Light Blue Polo T-Shirt
178,1.2463125,-15.447924,Light Blue Polo T-Shirt
179,0.48139215,-11.728397,Light Blue Polo T-Shirt
180,2.7918904,-10.940899,Light Blue Polo T-Shirt
181,15.203463,-12.5939245,Light Blue Polo T-Shirt
182,4.793413,-12.6467285,Light Blue Polo T-Shirt
183,4.6483564,-13.856709,Light Blue Polo T-Shirt
184,7.8284283,-9.450815,Light Blue Polo T-Shirt
185,11.958345,-8.194777,Light Blue Polo T-Shirt
186,13.921505,-1.4527653,Light Blue Polo T-Shirt
187,16.933151,-1.2487923,Light Blue Polo T-Shirt
188,2.5806274,-8.502298,Light Blue Polo T-Shirt
189,16.317753,-2.2231162,Light Blue Polo T-Shirt
190,3.777024,-10.274745,Light Blue Polo T-Shirt
191,3.419839,-5.855317,Light Blue Polo T-Shirt
192,5.7629457,-11.79425,Light Blue Polo T-Shirt
193,4.827107,-10.03825,Light Blue Polo T-Shirt
194,2.7187557,-12.366612,Light Blue Polo T-Shirt
195,2.3099973,-5.791154,Light Blue Polo T-Shirt
196,15.195465,0.13590832,Light Blue Polo T-Shirt
197,-1.6430299,-11.17896,Light Blue Polo T-Shirt
198,16.270191,0.29444999,Light Blue Polo T-Shirt
199,17.782986,-2.0559554,Light Blue Polo T-Shirt
200,3.2738166,-8.590168,Light Blue Polo T-Shirt
201,12.749478,-3.3384902,Light Blue Polo T-Shirt
202,14.925398,-0.76347625,Light Blue Polo T-Shirt
203,7.2751307,-11.619801,Light Blue Polo T-Shirt
204,2.5379994,-3.555234,Light Blue Polo T-Shirt
205,11.997183,-7.844407,Light Blue Polo T-Shirt
206,4.729904,-11.642058,Light Blue Polo T-Shirt
207,6.616534,-11.797326,Light Blue Polo T-Shirt
208,16.659012,-2.5156105,Light Blue Polo T-Shirt
209,5.491069,-10.636182,Light Blue Polo T-Shirt
210,10.694689,-2.2808435,Light Blue Polo T-Shirt
211,-1.0874171,-11.413772,Light Blue Polo T-Shirt
212,5.306825,-8.052219,Light Blue Polo T-Shirt
213,5.3156567,-6.0726995,Light Blue Polo T-Shirt
214,15.156926,-12.596803,Light Blue Polo T-Shirt
215,1.3650204,-9.673095,Light Blue Polo T-Shirt
216,14.100738,-7.727695,Light Blue Polo T-Shirt
217,13.078316,-0.81863177,Light Blue Polo T-Shirt
218,0.7820657,-8.976066,Light Blue Polo T-Shirt
219,15.00869,-5.527535,Light Blue Polo T-Shirt
220,1.309861,-15.509447,Light Blue Polo T-Shirt
221,-1.4009761,-10.84253,Light Blue Polo T-Shirt
