,x,y,Category
150,-7.486808,10.269816,Long Skirt
151,-7.2288284,4.899923,Long Skirt
152,-15.101378,3.427493,Long Skirt
153,-7.2797003,0.2862819,Long Skirt
154,-12.401872,4.4309993,Long Skirt
155,-9.9170475,10.441819,Long Skirt
156,-17.184319,2.6543982,Long Skirt
157,-7.0487003,1.7071338,Long Skirt
158,-9.114664,12.2172985,Long Skirt
159,-7.429446,10.074997,Long Skirt
160,-13.502958,6.7809258,Long Skirt
161,-9.220712,12.061296,Long Skirt
162,-8.686619,1.7877907,Long Skirt
163,-8.786627,4.6252613,Long Skirt
164,-8.057854,3.789531,Long Skirt
165,-14.7840185,7.104374,Long Skirt
166,-6.9540434,2.2445087,Long Skirt
167,-6.3536644,1.6969609,Long Skirt
168,-7.008644,3.3644004,Long Skirt
169,-2.821259,2.0003543,Long Skirt
170,-11.804617,10.648098,Long Skirt
171,-3.634942,0.23740497,Long Skirt
172,-6.097986,0.4027862,Long Skirt
173,-16.098188,3.399409,Long Skirt
174,-13.208172,10.134532,Long Skirt
175,-11.801921,1.5781081,Long Skirt
176,-8.427789,4.261424,Long Skirt
177,-5.8883963,8.10017,Long Skirt
178,-11.133307,4.0772853,Long Skirt
179,-5.4844527,1.6687071,Long Skirt
180,-11.5604925,11.35141,Long Skirt
181,-13.216326,2.6861758,Long Skirt
182,-7.7038403,2.5954912,Long Skirt
183,-6.5334277,5.1103406,Long Skirt
184,-14.345552,6.9346037,Long Skirt
185,-7.7583823,13.583935,Long Skirt
186,-8.992201,-0.38213167,Long Skirt
187,-4.7980123,4.4152493,Long Skirt
188,-5.7994175,3.1584272,Long Skirt
189,-13.8854265,1.2509996,Long Skirt
190,-6.2984014,11.496375,Long Skirt
191,-11.144497,13.084984,Long Skirt
192,-3.4818323,-1.8615625,Long Skirt
193,-7.5485806,1.41581,Long Skirt
194,-1.4754466,-3.6978362,Long Skirt
195,-7.9374,11.364464,Long Skirt
196,-8.361503,2.1441696,Long Skirt
197,-13.719901,8.857749,Long Skirt
198,-9.180294,15.002401,Long Skirt
199,-5.1322637,10.627503,Long Skirt
200,-9.8727,13.005935,Long Skirt
201,-7.442793,13.11157,Long Skirt
202,-9.80776,11.9457245,Long Skirt
203,-10.599536,11.630542,Long Skirt
204,-9.396894,13.4319725,Long Skirt
205,-11.076631,3.8614671,Long Skirt
206,-10.627693,-3.980306,Long Skirt
207,-12.011795,9.141751,Long Skirt
208,-17.704649,3.8346725,Long Skirt
209,-6.103835,2.337846,Long Skirt
210,-7.4371843,5.519689,Long Skirt
211,-9.614144,5.1579585,Long Skirt
212,-2.3702028,-3.0936558,Long Skirt
213,-6.0781946,8.123384,Long Skirt
214,-12.818332,5.0284376,Long Skirt
215,-8.853877,0.9687402,Long Skirt
216,-7.822114,-0.41576424,Long Skirt
217,-16.953157,3.303128,Long Skirt
218,-3.8415725,9.072427,Long Skirt
219,-5.012538,2.7922685,Long Skirt
220,-3.50646,-0.11556801,Long Skirt
221,-4.8739715,0.4365729,Long Skirt
222,-13.249024,1.9162967,Long Skirt
