,x,y,Category
146,-6.5497804,-7.455147,Footwear
147,1.184314,-1.4943849,Footwear
148,-2.784697,3.4622207,Footwear
149,-2.571337,2.9373362,Footwear
150,23.78686,-7.970794,Dress Shoes
151,17.203669,-4.5239096,Dress Shoes
152,23.133728,-8.195884,Dress Shoes
153,23.197952,-10.246191,Dress Shoes
154,16.78945,-7.6165314,Dress Shoes
155,25.360865,-1.8317837,Dress Shoes
156,19.504297,-3.8389866,Dress Shoes
157,21.52182,-7.838454,Dress Shoes
158,24.631731,-9.4999275,Dress Shoes
159,18.390951,-6.3138566,Dress Shoes
160,24.735037,-7.8021564,Dress Shoes
161,20.406637,-6.8381424,Dress Shoes
162,24.918756,-1.5733966,Dress Shoes
163,20.997469,-8.784358,Dress Shoes
164,21.786514,-8.370912,Dress Shoes
165,23.511477,-2.6126657,Dress Shoes
166,22.202671,-3.6189034,Dress Shoes
167,19.017883,-9.366005,Dress Shoes
168,22.485228,-8.013358,Dress Shoes
169,22.593061,-9.195555,Dress Shoes
170,21.163675,-6.013562,Dress Shoes
171,22.655039,-7.0980215,Dress Shoes
172,19.612139,-10.882344,Dress Shoes
173,25.004799,-4.0273705,Dress Shoes
174,22.340714,-7.307522,Dress Shoes
175,24.975508,-2.728119,Dress Shoes
176,26.51306,-6.693518,Dress Shoes
177,17.846231,-8.756912,Dress Shoes
178,23.402422,-6.717202,Dress Shoes
179,20.28459,-4.9932194,Dress Shoes
180,21.114756,-4.2198124,Dress Shoes
181,24.29695,-1.3208741,Dress Shoes
182,17.42131,-7.36276,Dress Shoes
183,19.144278,-5.2324557,Dress Shoes
184,21.00589,-7.917274,Dress Shoes
185,21.538681,-5.6539927,Dress Shoes
186,26.089823,-8.880847,Dress Shoes
187,23.627455,-11.821115,Dress Shoes
188,15.910412,-7.439475,Dress Shoes
189,24.169641,-5.90484,Dress Shoes
190,25.685797,-1.2066505,Dress Shoes
191,22.973923,-9.28762,Dress Shoes
192,25.8228,-2.947845,Dress Shoes
193,24.249304,-2.5429883,Dress Shoes
194,24.740255,-6.964723,Dress Shoes
195,19.901325,-8.4666,Dress Shoes
196,26.98074,-3.8917763,Dress Shoes
197,15.637216,-7.233885,Dress Shoes
198,23.35721,-5.316696,Dress Shoes
199,24.042387,-12.234557,Dress Shoes
200,25.506968,-0.9503193,Dress Shoes
201,20.031054,-6.4441657,Dress Shoes
202,19.287388,-7.3902807,Dress Shoes
203,23.973783,-4.992083,Dress Shoes
204,21.211023,-10.006322,Dress Shoes
205,16.733698,-9.999649,Dress Shoes
206,21.690018,-10.012011,Dress Shoes
207,21.556175,-6.1005263,Dress Shoes
208,23.621498,-12.051014,Dress Shoes
209,18.654903,-5.835736,Dress Shoes
